slang,normalisasi
lengkaaap,lengkap
lewar,lewat
lg,lagi
lgi,lagi
lgs,langsung
lgsg,langsung
lgsng,langsung
lgsug,langsung
lh,lah
lha,lah
lho,loh
ligkungn,lingkungan
lm,lama
lma,lama
lmyan,lumayan
lmyn,lumayan
lncar,lancar
lngganan,langganan
lngkp,lengkap
lngsg,langsung
lngsng,langsung
loading2,loading-loading
loadinggggggggg,loading
loding,loading
loginn,login
lohh,loh
lohhh,loh
lom,belum
lomoottt,lemot
looh,loh
louvvv,love
lovee,love
lsg,langsung
lumajanh,lumajang
lup,lupa
lupo,lupa
luv,love
luvv,love
luvvv,love
lwama,lama
lwpn,walaupun
lwt,lewat
ma,sama
maaantab,mantap
maakin,makin
maalh,malah
maantaap,mantap
maav,maaf
macet2,macet-macet
maf,maaf
mahaaaaallllll,mahal
mahaaaal,mahal
mahaal,mahal
mahal2,mahal-mahal
mahall,mahal
mahalll,mahal
mahallll,mahal
mahalllll,mahal
mahsa,masya
main2,main-main
mak2,ibu-ibu
makanannyaa,makanannya
makann,makan
makasi,makasih
makasihh,makasih
makasii,makasih
makasiih,makasih
makasiii,makasih
makasyiiii,makasih
make,pakai
makek,pakai
makenya,pakainya
maks,maksimal
maksdnya,maksudnya
maksih,makasih
maksii,makasih
mala,malah
malag,malah
malahh,malah
malassss,malas
malem2,malam-malam
maless,malas
malessss,malas
malessssin,malesin
malesssss,malas
malqh,malah
malu2in,malu-maluin
mana2,mana-mana
manajement,management
manatap,mantap
mangkin,mungkin
manja2,manja-manja
manta,mantap
mantaaaaapppp,mantap
mantaaaaapssssss,mantap
mantaaaap,mantap
mantaaaapppp,mantap
mantaaaapppppp,mantap
mantaaabbb,mantap
mantaaap,mantap
mantaaapp,mantap
mantaaappp,mantap
mantaab,mantap
mantaap,mantap
mantaapp,mantap
mantaappp,mantap
mantab,mantap
mantabb,mantap
mantabbb,mantap
mantabbbbbbb,mantap
mantabeg,mantap banget
mantabf,mantap
mantabh,mantap
mantabs,mantap
mantabsss,mantap
mantaf,mantap
mantaff,mantap
